Fecha;Nuquí sur CHIRPS;Nuquí sur TRMM;Nuquí centro CHIRPS;Nuquí centro TRMM;Nuquí norte CHIRPS;Nuquí norte TRMM;Bahía Solano sur CHIRPS;Bahía Solano sur TRMM;Bahía Solano centro CHIRPS;Bahía Solano centro TRMM;Bahía Solano norte CHIRPS;Bahía Solano norte TRMM
12/09/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
13/09/1981;26,46;;29,89;;28,86;;29,95;;25,75;;32,49;
14/09/1981;33,07;;5,98;;14,43;;17,47;;12,87;;0,00;
15/09/1981;6,62;;5,98;;0,00;;0,00;;0,00;;0,00;
16/09/1981;12,27;;16,23;;22,74;;18,84;;20,14;;23,07;
17/09/1981;4,67;;9,28;;19,49;;28,70;;30,69;;26,37;
18/09/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
19/09/1981;20,45;;20,29;;22,74;;25,11;;26,86;;17,30;
20/09/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
21/09/1981;8,78;;9,91;;13,49;;11,14;;12,36;;11,72;
22/09/1981;15,05;;16,98;;23,12;;25,47;;35,31;;33,49;
23/09/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
24/09/1981;8,78;;14,86;;20,23;;22,28;;18,54;;23,44;
25/09/1981;21,95;;22,64;;23,12;;22,28;;35,31;;23,44;
26/09/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
27/09/1981;11,81;;10,07;;29,13;;23,04;;29,15;;24,29;
28/09/1981;11,81;;0,00;;19,42;;7,68;;14,57;;18,22;
29/09/1981;11,81;;20,13;;38,84;;38,40;;21,86;;18,22;
30/09/1981;17,71;;10,07;;9,71;;0,00;;7,29;;6,07;
01/10/1981;9,44;;12,28;;34,41;;0,00;;17,27;;0,00;
02/10/1981;37,75;;24,56;;34,41;;28,59;;34,54;;19,06;
03/10/1981;56,63;;73,68;;120,44;;98,02;;98,69;;116,75;
04/10/1981;0,00;;0,00;;17,21;;0,00;;17,27;;16,68;
05/10/1981;0,00;;0,00;;0,00;;0,00;;0,00;;16,68;
06/10/1981;33,46;;52,22;;66,58;;46,13;;35,43;;19,47;
07/10/1981;0,00;;13,05;;33,29;;11,53;;17,72;;8,52;
08/10/1981;55,77;;65,27;;66,58;;46,13;;35,43;;25,56;
09/10/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
10/10/1981;11,15;;0,00;;0,00;;0,00;;0,00;;0,00;
11/10/1981;0,00;;0,00;;0,00;;0,00;;9,96;;0,00;
12/10/1981;27,37;;26,82;;27,40;;9,28;;0,00;;0,00;
13/10/1981;27,37;;13,41;;27,40;;18,56;;29,87;;14,22;
14/10/1981;9,12;;26,82;;27,40;;27,84;;0,00;;0,00;
15/10/1981;36,50;;40,23;;41,09;;37,12;;39,83;;35,55;
16/10/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
17/10/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
18/10/1981;26,63;;62,39;;94,42;;58,23;;25,17;;23,24;
19/10/1981;0,00;;0,00;;0,00;;0,00;;0,00;;11,62;
20/10/1981;26,63;;62,39;;62,94;;38,82;;25,17;;23,24;
21/10/1981;14,88;;27,30;;37,85;;22,34;;26,38;;25,73;
22/10/1981;29,76;;40,96;;94,62;;38,29;;39,57;;38,59;
23/10/1981;22,32;;27,30;;18,92;;22,34;;0,00;;12,86;
24/10/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
25/10/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
26/10/1981;42,19;;47,89;;56,16;;33,74;;48,68;;26,59;
27/10/1981;21,09;;11,97;;11,23;;11,25;;24,34;;21,27;
28/10/1981;7,03;;0,00;;0,00;;0,00;;0,00;;0,00;
29/10/1981;0,00;;0,00;;0,00;;0,00;;0,00;;10,64;
30/10/1981;28,13;;35,92;;38,51;;22,49;;30,43;;26,59;
31/10/1981;35,16;;11,97;;22,46;;11,25;;6,09;;5,32;
01/11/1981;44,45;;58,14;;72,96;;35,30;;25,04;;14,61;
02/11/1981;53,34;;101,75;;72,96;;52,95;;50,09;;51,15;
03/11/1981;0,00;;14,54;;24,32;;26,47;;16,70;;21,92;
04/11/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
05/11/1981;35,56;;29,07;;36,48;;0,00;;0,00;;7,31;
06/11/1981;9,66;;6,72;;6,19;;3,43;;1,61;;3,71;
07/11/1981;13,28;;13,09;;12,07;;6,70;;9,46;;18,19;
08/11/1981;25,29;;43,90;;40,46;;22,45;;12,57;;6,37;
09/11/1981;12,48;;11,83;;10,90;;6,05;;2,15;;2,87;
10/11/1981;19,78;;25,71;;23,69;;13,15;;14,93;;29,40;
11/11/1981;0,00;;0,00;;0,00;;0,00;;27,08;;0,00;
12/11/1981;0,00;;0,00;;17,53;;16,73;;0,00;;14,97;
13/11/1981;43,78;;95,05;;87,64;;50,19;;27,08;;29,95;
14/11/1981;14,59;;0,00;;0,00;;16,73;;0,00;;0,00;
15/11/1981;0,00;;0,00;;0,00;;0,00;;0,00;;29,95;
16/11/1981;24,82;;34,38;;41,97;;27,38;;38,97;;20,58;
17/11/1981;0,00;;0,00;;0,00;;0,00;;0,00;;5,14;
18/11/1981;18,62;;34,38;;20,98;;6,84;;12,99;;15,43;
19/11/1981;18,62;;11,46;;10,49;;6,84;;12,99;;5,14;
20/11/1981;31,03;;34,38;;10,49;;13,69;;6,50;;0,00;
21/11/1981;8,97;;0,00;;0,00;;0,00;;0,00;;0,00;
22/11/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
23/11/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
24/11/1981;8,97;;17,91;;0,00;;0,00;;0,00;;0,00;
25/11/1981;35,87;;35,81;;48,52;;42,44;;39,02;;23,10;
26/11/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
27/11/1981;44,01;;88,55;;80,05;;50,85;;45,73;;41,09;
28/11/1981;0,00;;0,00;;0,00;;0,00;;0,00;;10,27;
29/11/1981;0,00;;0,00;;0,00;;0,00;;0,00;;20,55;
30/11/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
01/12/1981;15,44;;18,49;;21,64;;17,98;;18,29;;6,12;
02/12/1981;17,83;;26,92;;31,51;;26,17;;16,19;;0,00;
03/12/1981;0,00;;5,03;;5,89;;0,00;;5,25;;5,16;
04/12/1981;14,00;;16,06;;18,80;;15,61;;17,97;;30,44;
05/12/1981;15,72;;21,78;;25,49;;21,17;;18,63;;21,28;
06/12/1981;15,03;;21,03;;24,69;;20,26;;4,74;;10,76;
07/12/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
08/12/1981;0,00;;0,00;;0,00;;0,00;;0,00;;4,31;
09/12/1981;9,90;;18,55;;21,78;;17,87;;10,93;;7,78;
10/12/1981;41,91;;58,09;;68,19;;55,96;;37,30;;31,13;
11/12/1981;24,52;;24,59;;31,85;;24,01;;15,14;;6,62;
12/12/1981;8,17;;0,00;;0,00;;12,00;;0,00;;0,00;
13/12/1981;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
14/12/1981;32,69;;61,48;;31,85;;24,01;;37,86;;33,10;
15/12/1981;16,34;;12,30;;15,92;;12,00;;15,14;;19,86;
16/12/1981;21,99;;30,38;;30,19;;30,87;;27,98;;16,94;
